id,range_names,Clipper Invocations,Post-Clip Primitives,CS Invocations,DS Invocations,GPU Elapsed Time,GS Invocations,Post-GS Primitives,HS Invocations,Primitive Count,Vertex Count,VS Invocations,Pixels Rendered,PS Invocations
621,Dispatch,0,0,9216,0,23,0,0,0,0,0,0,0,0
622,Dispatch,0,0,33728,0,36,0,0,0,0,0,0,0,0
623,Dispatch,0,0,132736,0,100,0,0,0,0,0,0,0,0
624,Dispatch,0,0,526592,0,309,0,0,0,0,0,0,0,0
625,DrawIndexed,1,1,0,0,514,0,0,0,1,3,3,2.0736e+06,2.0736e+06
626,DrawIndexed,2,2,0,0,608,0,0,0,2,6,4,2.0736e+06,2.0736e+06
627,DrawIndexed,1,1,0,0,764,0,0,0,1,3,3,2.0736e+06,2.0736e+06
628,DrawIndexed,20,0,0,0,18,0,0,0,20,60,40,0,0
629,DrawIndexed,3060,3060,0,0,77,0,0,0,3060,9180,2820,12,27
630,DrawIndexed,3060,3060,0,0,77,0,0,0,3060,9180,2820,54,54
631,CopySubresourceRegion,0,0,0,0,585,0,0,0,0,0,0,0,0
632,DrawIndexed,98304,23192,0,0,202,0,0,0,98304,294912,89522,74208,74208
633,DrawIndexed,100,0,0,0,19,0,0,0,100,300,200,0,0
634,DrawIndexed,100,0,0,0,15,0,0,0,100,300,200,0,0
635,DrawIndexed,144,144,0,0,23,0,0,0,144,432,180,0,0
636,DrawIndexed,144,144,0,0,21,0,0,0,144,432,180,0,0
637,DrawIndexed,12,12,0,0,24,0,0,0,12,36,24,0,0
638,DrawIndexed,20,20,0,0,22,0,0,0,20,60,40,0,0
639,DrawIndexed,200,200,0,0,75,0,0,0,200,600,400,573200,573200
640,DrawIndexed,100,100,0,0,76,0,0,0,100,300,200,618569,618569
641,DrawIndexed,200,132,0,0,37,0,0,0,200,600,400,55061,55061
642,DrawIndexed,2,2,0,0,581,0,0,0,2,6,4,2.0736e+06,2.0736e+06
643,DrawIndexed,1,1,0,0,337,0,0,0,1,3,3,518400,518400
644,DrawIndexed,1,1,0,0,60,0,0,0,1,3,3,129600,129600
645,DrawIndexed,1,1,0,0,41,0,0,0,1,3,3,32400,32400
646,DrawIndexed,1,1,0,0,16,0,0,0,1,3,3,8040,8040
647,DrawIndexed,1,1,0,0,12,0,0,0,1,3,3,1980,1980
648,DrawIndexed,1,1,0,0,12,0,0,0,1,3,3,480,480
649,DrawIndexed,1,1,0,0,12,0,0,0,1,3,3,120,120
650,DrawIndexed,1,1,0,0,12,0,0,0,1,3,3,28,28
651,DrawIndexed,1,1,0,0,12,0,0,0,1,3,3,6,6
652,DrawIndexed,1,1,0,0,21,0,0,0,1,3,3,28,28
653,DrawIndexed,1,1,0,0,12,0,0,0,1,3,3,120,120
654,DrawIndexed,1,1,0,0,12,0,0,0,1,3,3,480,480
655,DrawIndexed,1,1,0,0,12,0,0,0,1,3,3,1980,1980
656,DrawIndexed,1,1,0,0,13,0,0,0,1,3,3,8040,8040
657,DrawIndexed,1,1,0,0,18,0,0,0,1,3,3,32400,32400
658,DrawIndexed,1,1,0,0,60,0,0,0,1,3,3,129600,129600
659,DrawIndexed,1,1,0,0,101,0,0,0,1,3,3,518400,518400
660,Dispatch,0,0,46656,0,36,0,0,0,0,0,0,0,0
661,DrawIndexed,1,1,0,0,669,0,0,0,1,3,3,2.0736e+06,2.0736e+06
662,DrawIndexed,1,1,0,0,891,0,0,0,1,3,3,2.0736e+06,2.0736e+06
663,DrawIndexed,2,2,0,0,468,0,0,0,2,6,4,2.0736e+06,2.0736e+06
664,ClearDepthStencilView,0,0,0,0,21,0,0,0,0,0,0,0,0
665,DrawIndexed,20,20,0,0,25,0,0,0,20,60,40,36042,36042
666,CopySubresourceRegion,0,0,0,0,291,0,0,0,0,0,0,0,0
667,DrawIndexed,2,2,0,0,179,0,0,0,2,6,4,397824,397824
668,CopySubresourceRegion,0,0,0,0,285,0,0,0,0,0,0,0,0
669,DrawIndexed,2,2,0,0,147,0,0,0,2,6,4,397824,397824
670,DrawIndexed,2,2,0,0,54,0,0,0,2,6,4,397824,397824
671,DrawIndexed,2,2,0,0,22,0,0,0,2,6,4,33755,33755
672,DrawIndexed,164,164,0,0,40,0,0,0,164,492,328,18940,33337
673,DrawIndexed,18,18,0,0,28,0,0,0,18,54,16,40128,40128
674,DrawIndexed,36,36,0,0,18,0,0,0,36,108,72,1743,1743
675,DrawIndexed,174,174,0,0,15,0,0,0,174,522,348,7128,7128
676,DrawIndexed,18,18,0,0,17,0,0,0,18,54,16,1400,1400
677,DrawIndexed,22,22,0,0,15,0,0,0,22,66,44,779,779
678,DrawIndexed,18,18,0,0,18,0,0,0,18,54,16,1400,1400
679,DrawIndexed,10,10,0,0,15,0,0,0,10,30,20,331,331
680,DrawIndexed,18,18,0,0,17,0,0,0,18,54,16,1400,1400
681,DrawIndexed,10,10,0,0,17,0,0,0,10,30,20,346,346
682,DrawIndexed,2,2,0,0,18,0,0,0,2,6,4,1955,1955
683,DrawIndexed,2,2,0,0,271,0,0,0,2,6,4,2.0736e+06,2.0736e+06
